supplier,nr,fabric_name,category,width_cm,year,roll_price_eur,cut_price_eur,sell_roll_price_eur,sell_cut_price_eur,status
DATEKS,1533,URBINO BLACKOUT FR,fabrics,300 ROLL,2023,31.705,46.733,83.0671,122.44046,
DATEKS,1534,215329 MIRAGE,fabrics,320,2023,19.200000000000003,24,50.30400000000001,62.88,
DATEKS,1536,65554,fabrics,320,2021,15.708,17.247999999999998,41.15496,45.18975999999999,
DATEKS,1537,LINEN FABRIC,fabrics,290,2021,13.104,15.728000000000002,34.33248,41.20736000000001,
DATEKS,1542,215328 VISTA,fabrics,300,2023,20.72,25.52,54.2864,66.86240000000001,
DATEKS,1544,SOFTLINE BLACKOUT FR,fabrics,285 ROLL,2023,41.055,55.742999999999995,107.56410000000001,146.04666,
DATEKS,1545,69230,fabrics,300,2021,13.600000000000001,15.200000000000001,35.632000000000005,39.824000000000005,
DATEKS,1546,CASTELLI FR,fabrics,295 ROLL,2023,39.236,57.001,102.79831999999999,149.34262,
DATEKS,1547,820017 PHYSALIS FR,fabrics,300,2023,48.56,64.72000000000001,127.22720000000001,169.56640000000004,
DATEKS,1548,329348 DITTO,fabrics,300,2023,27.12,31.92,71.0544,83.63040000000001,
DATEKS,1549,69215,fabrics,305,2021,10.88,11.840000000000002,28.505600000000005,31.020800000000005,
DATEKS,1550,329345 GRAIL,fabrics,290,2023,19.200000000000003,24,50.30400000000001,62.88,
DATEKS,1551,AMBER  / KN. PERU 2,fabrics,140,2020,36.18909090909091,39.808,94.81541818181819,104.29696,
