article,category,width_cm,cut_price_eur,roll_price_eur,notes
"GHAZEL","outdoor","280","44.75","35.75",""
"GIAN","outdoor","280","44.75","35.75",""
"GIF","outdoor","280","44.75","35.75",""
"GINGER","decoration","325/330","35.38","30.07",""
"GINGER STROP","decoration","295/300","45.88","38.99",""
"GIOVANNI","upholstery/decoration","300/305","36.13","30.71",""
"GISELE (DISCOUNT)","decoration","310/315","26","22.1","DISCOUNT - available until stock lasts"
"GIULIO","upholstery/decoration","280","71","60.35",""
"GIUNONE – FR","decoration","295/300","Roll only","24.86","Fire retardant"
"GLAMOUR (DISCOUNT)","decoration","310/315","16.13","13.71","DISCOUNT - available until stock lasts"
"GLAMOUR 102-2, 102-3","decoration","310/315","24.13","20.51",""
"GLAMOUR NEW","decoration","290","18.75","15.94",""
"GLEN","outdoor","280","44.75","35.75",""
"GLOBE","outdoor","280","44.75","35.75",""
"GLORIA (outdoor)","outdoor","280","44.75","35.75",""
"GLORIA","sheer","300","35","29.75",""
"GOBI","outdoor","280","50.5","40.5",""
"GORSAY","outdoor","280","44.75","35.75",""
"GRAF","outdoor","280","44.75","35.75",""
"GUMER","outdoor","280","44.75","35.75",""
"GUS","outdoor","280","44.75","35.75",""
"HACHIKO","decoration","310","15.63","13.28",""
"HANA","upholstery/decoration","140","43.5","36.98",""
"HAVANA","upholstery/decoration","140","22.88","19.44",""
"HELENA (63cm)","cafe curtain","63","17.5","14.88",""
"HELENA (160cm)","cafe curtain","160","20","17",""
"HORION","decoration","300","28.25","24.01",""
"HOUSTON OUTDOOR COM","outdoor","155","19.75","16.79",""
"HOUSTON OUTDOOR PLAIN","outdoor","155","16.75","14.24",""
"HOUSTON OUTDOOR STRIPE","outdoor","155","19.75","16.79",""
"HUGOLINO 100","decoration","300","45","38.25",""
"IGLESIAS","upholstery/decoration","295/300","33.5","28.48",""
"IMPERIUM","upholstery/decoration","280","27.5","23.38",""
"INTEL","decoration","290","36","30.6",""
"INTERIOR: 788,789,791","upholstery/decoration","140","47.88","40.69",""
"INTERIOR – 790","upholstery/decoration","140","57.63","48.98",""
"ISABELLA","sheer","300","22","18.7",""
"JAIPUR","upholstery/decoration","280","34.13","29.01",""
"JAMAICA","outdoor","280","44.75","35.75",""
