supplier,catalog_nr,design,category,width_cm,roll_price_eur,coupon_price_eur,sell_price_eur
DATEKS,286,329326 BURST,fabrics,300,22.432000000000002,27.232,71.34784
DATEKS,288,329327 RISE,fabrics,290,23.952,28.752,75.33024
DATEKS,949,329328 GLOOM,fabrics,300,20.512,25.312,66.31744
DATEKS,882,329330 Charlie,fabrics,320,18.176,22.976,60.19712
DATEKS,285,329331 FEAST,fabrics,290,27.584,32.384,84.84608
DATEKS,292,329333 SPARK,fabrics,280,22.656000000000002,27.456000000000003,71.93472000000001
DATEKS,ODE4,329334 AURORA,fabrics,280,45.712,50.480000000000004,132.25760000000002
DATEKS,940,329335 EVALINA ,fabrics,280,19.936000000000003,24.736000000000004,64.80832000000001
DATEKS,ODE5,329336 SUNA,fabrics,300,52.56,57.36000000000001,150.28320000000002
DATEKS,ODE6,329337 GAIA,fabrics,300 ilg r,34.384,39.2,102.70400000000001
DATEKS,ODE7,329338 TAIGA,fabrics,305,39.648,44.480000000000004,116.53760000000001
DATEKS,ODE8,329340 NARRA,fabrics,320 ilg r,53.760000000000005,58.56,153.4272
DATEKS,941,329341 EASE,fabrics,290 igas roll,20.512,25.312,66.31744
DATEKS,291,329342 TORPOR,fabrics,300,27.456000000000003,32.256,84.51072
DATEKS,289,329343 HARMONY,fabrics,300,24.880000000000003,29.680000000000003,77.76160000000002
DATEKS,1559,3364  TÜL,fabrics,300,7.4,8.9,23.318
DATEKS,1514,340063-0 DRIBBEL,fabrics,145,10.768,15.568000000000001,40.788160000000005
DATEKS,40,340065 ELEGANCE,fabrics,140,10.464,14.463999999999999,37.89568
DATEKS,41,340066 TENDER*,fabrics,145,11.856000000000002,15.840000000000002,41.500800000000005
DATEKS,1516,349100-7-LA ARIEL,fabrics,300- ILGAS ROLL,24.016000000000002,28.816000000000003,75.49792000000001
DATEKS,284,349101 MARVEL,fabrics,300 ilg roll,36.288000000000004,39.9,104.538
DATEKS,899,386316 BORIS,fabrics,145,7.792000000000001,12.592,32.991040000000005
DATEKS,826,41351 kaip LIGHT,fabrics,300,6.75,7.95,20.829
DATEKS,360,4349  QUATRO,fabrics,300,15.3,18.4,48.208
DATEKS,1585,443 file,fabrics,290,5.7,6.84,17.9208
DATEKS,1432,48305 -F,fabrics,285,11.68,13.280000000000001,34.793600000000005
DATEKS,776,6315  tul,fabrics,300,8.3,9.9,25.938000000000002
DATEKS,965,635501 BROUSSE,fabrics,150,10.288,14.288,37.434560000000005
DATEKS,1266,635504 Rabat,fabrics,150,10.688,15.488,40.57856
DATEKS,575,635506 Garden,fabrics,150,22.496000000000002,27.296,71.51552
DATEKS,922,635513 HONEY,fabrics,150,10.688,15.488,40.57856
DATEKS,1125,635521-0 TERRAZZO,fabrics,140,10.16,14.96,39.19520000000001
DATEKS,933,635525 Degradee,fabrics,150,10.496,15.296000000000001,40.075520000000004
DATEKS,539,646501 BOS,fabrics,150,12.112000000000002,16.912000000000003,44.30944000000001
DATEKS,576,646505 HAWAI,fabrics,140,11.552,16.352,42.842240000000004
DATEKS,554,646513  JUNGLE,fabrics,150,11.552,16.352,42.842240000000004
DATEKS,552,646517 LANAI,fabrics,140,11.552,16.352,42.842240000000004
DATEKS,342,646522 Cube,fabrics,140,12.096,16.896,44.267520000000005
DATEKS,1612,664318 / 664319 / 664320 / 664321,fabrics,300,20.16,24.192,63.38304
DATEKS,961,680310 BIRDS,fabrics,150,8.32,13.12,34.3744
DATEKS,963,680312 Torpedo,fabrics,150,12.304000000000002,17.104,44.81248
DATEKS,943,680517 ASHLEY,fabrics,150,8.544,13.344000000000001,34.96128
DATEKS,942,680518 KUBIK,fabrics,150,8.544,13.344000000000001,34.96128
DATEKS,,680522  Cone,fabrics,150,8.304,13.104,34.33248
DATEKS,,680523  Sakura,fabrics,150,8.304,13.104,34.33248
DATEKS,,680524  Boucle,fabrics,150,8.304,13.104,34.33248
DATEKS,63,69211  -  13865,fabrics,300,23.200000000000003,24.8,64.976
DATEKS,340,69213 / MABON,fabrics,310,16.049999999999997,18.72,49.0464
DATEKS,938,7818-7817,fabrics,300,24.1,28.9,75.718
DATEKS,1396,820002-7 GRAPE FR,fabrics,310,40.851200000000006,45.6512,119.60614400000001
DATEKS,1519,820008-7LA  PEACH FR,fabrics,290 - ILGAS ROLL,41.0176,45.8176,120.042112
DATEKS,1517,820012-7LA  PLUM FR,fabrics,300 - ILGAS ROLL,34.29504,39.095040000000004,102.42900480000002
DATEKS,1512,820013-7 AVOCADO FR,fabrics,320,24.211200000000005,29.011200000000002,76.00934400000001
DATEKS,1515,820202-7LA  ETNA FR,fabrics,290 - ILGAS ROLL,40.984320000000004,45.78432000000001,119.95491840000003
DATEKS,57x,825026 Iris dimout FR,fabrics,150,10.512,14.512,38.021440000000005
DATEKS,895,829026 CROCUS dimout FR,fabrics,300,20.288,24.288,63.63456
DATEKS,1307,"9214 ,  9202",fabrics,300,19.636363636363637,21.6,56.592000000000006
DATEKS,24,ABANT,fabrics,290,14.836363636363636,16.32,42.7584
DATEKS,42,Abby,fabrics,300,6.75,8.235,21.575699999999998
DATEKS,832,Abril,fabrics,295,11.992727272727272,13.192,34.56304
DATEKS,1006,Absolute,fabrics,143,9.904000000000002,12.875200000000001,33.73302400000001
DATEKS,522,ABZU DEPTH / ABYSS,fabrics,139,8.6,10.32,27.038400000000003
DATEKS,kn,ACADIA / knyga GRANDLAND,fabrics,300,29.648000000000003,38.54240000000001,100.98108800000003
DATEKS,1277x,ACE,fabrics,300,16.64,19.968000000000004,52.31616000000001
DATEKS,502,ACHIEVMENT PHASE STEP/ MILESTONE,fabrics,140,8.976,11.668800000000003,30.57225600000001
DATEKS,kn,ACROPOLIS  / kn. MUSEO,fabrics,140,31.951999999999998,41.5376,108.828512
DATEKS,kn,Act  / kn. FESTIVAL,fabrics,306,28.208,36.6704,96.076448
DATEKS,1128,Adaline,fabrics,140,46.36363636363636,51.0,133.62
DATEKS,1593,ADEL,fabrics,290,8.8,10.128,26.53536
DATEKS,917,Aditya Annunaki Ashur  / ATEN DIMOUT FR,fabrics,150,18.0,23.400000000000002,61.30800000000001
DATEKS,808/809,aditya dim out  /  RESURGENCE,fabrics,150 cm,18.0,23.400000000000002,61.30800000000001
