Supplier,Product Name,Category,Width (cm),Composition,Weight (g/m2),Martindale,Fire Rating,Remarks/Finish,Price - Cut Length (EUR/m),Price - Roll (EUR/m),Price - 250m+ (EUR/m),Price - 500m+ (EUR/m)
TARIFA STOCK,CHENILLA OSPES,DYED,140,100% poliester,,,,,9.47025,6.46875,,
TARIFA STOCK,CIES LINO,DIGITAL,280,100% lino,,,,,24.1155,16.56,,
TARIFA STOCK,CIES LINO,DYED,280,100% lino,,,,,14.8005,10.143,,
TARIFA STOCK,CIES LINO,DYED + WASH GARMENT,260,100% lino,,,,,16.30125,11.178,,
TARIFA STOCK,COSTANZA P/C,DYED,280,70% pes 30% algodón,,,,,9.729,6.67575,,
TARIFA STOCK,CUBA COTTON - Brushed,DYED,280,100% algodón,,,,,13.3515,9.108,,
TARIFA STOCK,DAKOTA PES.,DIGITAL,140,100% poliester,,,,,17.595,12.05775,,
TARIFA STOCK,DAKOTA PES.,SEAM SURI,140,100% poliester,,,,,10.971,7.5555,,
TARIFA STOCK,DANIEL COTTON LINO,DYED,280,70% algodón 30% lino,,,,,24.012,16.50825,,
TARIFA STOCK,DIM OUT PES. OCULTANTE,DYED,300,100% poliester,,,,,12.57525,8.64225,,
TARIFA STOCK,ELECTRA P/C,DYED,280,65% pes. 35% algodón,,,,,12.16125,8.33175,,
TARIFA STOCK,FRIDAY COTTON/LINO,DYED,140,70% algodón 30% lino,,,,,13.455,9.2115,,
TARIFA STOCK,HEMOS PES.,DYED,280,100% poliester,,,,,11.9025,8.1765,,
TARIFA STOCK,HUKA COTTON,DYED,140,100% algodón,,,,,11.22975,7.71075,,
TARIFA STOCK,IRUN L/V,DIGITAL,280,70% vis. 30% lino,,,,,38.13975,26.1855,,
TARIFA STOCK,IRUN L/V,DYED,280,70% vis. 30% lino,,,,,27.531,18.9405,,
TARIFA STOCK,ITALIAN PES.,DYED,145,100% poliester,,,,,10.81575,7.452,,
TARIFA STOCK,JALISCO COTTON,DIGITAL,280,100% algodón,,,,,22.563,15.525,,
TARIFA STOCK,KENDO C/L,DYED,140,65% alg. 35% lino,,,,,14.33475,9.88425,,
TARIFA STOCK,KITE 2 P/C,DYED,280,60% alg. 40% pes.,,,,,18.837,12.98925,,
TARIFA STOCK,KULSO PAC. LISO (CON ANTIMANCHAS),DIGITAL,140,100% Acrilico,,,,,9.729,6.67575,,
TARIFA STOCK,KULSO PAC. LISO (CON ANTIMANCHAS),DYED,280,100% Acrilico,,,,,15.36975,10.60875,,
TARIFA STOCK,MALDIVAS MICROFIBRA PES.,DIGITAL,280,100% poliester,,,,,13.9725,9.6255,,
TARIFA STOCK,MALDIVAS MICROFIBRA PES.,DYED,280,100% poliester,,,,,7.5555,5.175,,
TARIFA STOCK,MANILA COTTON LINO (CON ANTIMANCHAS),DIGITAL,140,60% algodón 40% lino,,,,,19.30275,13.248,,
TARIFA STOCK,MANILA COTTON LINO,DIGITAL,280,60% algodón 40% lino,,,,,34.93125,23.96025,,
TARIFA STOCK,MANILA COTTON LINO,DYED,140,60% algodón 40% lino,,,,,12.47175,8.5905,,
TARIFA STOCK,NEVADA PES.,SELENIO,140,100% poliester,,,,,11.22975,7.71075,,
TARIFA STOCK,OKRA PES/LINO,DIGITAL,280,92% pes. 8% lino,,,,,19.872,13.662,,
TARIFA STOCK,PETER COTTON,DIGITAL,280,100% algodón,,,,,17.33625,11.9025,,
TARIFA STOCK,TABARCA LINO,DYED + WASH GARMENT,260,100% lino,,,,,22.4595,15.4215,,
TARIFA STOCK,TAHITI COTTON (CON ANTIMANCHAS),DIGITAL,140,100% algodón,,,,,13.71375,9.4185,,
TARIFA STOCK,TAHITI COTTON,DIGITAL,280,100% algodón,,,,,24.7365,16.974,,
TARIFA STOCK,TAHITI COTTON,DYED,140,100% algodón,,,,,7.5555,5.175,,
TARIFA STOCK,TAHITI COTTON,DYED,280,100% algodón,,,,,14.33475,9.8325,,
TARIFA STOCK,TANE JQ. COTTON,C/W,280,100% algodón,,,,,21.2175,14.5935,,
TARIFA STOCK,TAYLOR P/L,DYED,280,55% pes. 45% lino,,,,,17.02575,11.64375,,
TARIFA STOCK,TENERIFE COT/LINO,DIGITAL + WASH GARMENT,260,45% Alg. 55% Lino,,,,,25.875,17.75025,,
TARIFA STOCK,TROY P/L,DYED,280,55% pes. 45% lino,,,,,20.75175,14.283,,
TARIFA STOCK,TUI LINO,DIGITAL,280,100% lino,,,,,42.3315,29.0835,,
TARIFA STOCK,TUI LINO,DYED,280,100% lino,,,,,29.65275,20.3895,,
TARIFA STOCK,TURIN LINO (CON ANTIMANCHAS),DIGITAL,140,100% Lino,,,,,27.06525,18.57825,,
TARIFA STOCK,TURIN LINO,DYED,140,100% Lino,,,,,18.216,12.5235,,
TARIFA STOCK,VERA VOILE COTTON,DIGITAL,280,100% algodón,,,,,16.146,11.0745,,
TARIFA STOCK,ZELDA P/C,DYED,280,55% pes. 45% algodón,,,,,14.33475,9.8325,,
TARIFA STOCK,CASPER PES/ACR. IGNIFUGO,NATURAL,290,25% Pes. 75% Acr.,,,,,15.68025,10.81575,,
TARIFA STOCK,KIVU IGNIFUGO PES. OCULTANTE,DYED,300,100% poliester,,,,,21.0105,14.43825,,
TARIFA STOCK,LEMEK IGNIFUGO PES. OCULTANTE,DYED,300,100% poliester,,,,,15.318,10.557,,
TARIFA STOCK,MOLOBY IGNIFUGO,DYED,300,100% poliester,,,,,12.88575,8.84925,,
TARIFA STOCK,NICARAGUA IGNIFUGO,DYED,280,100% poliester,,,,,18.88875,12.98925,,
TARIFA STOCK,TAHITI IGNIFUGO,DYED,280,100% poliester,,,,,20.8035,14.33475,,
TARIFA STOCK,VISILLO IGNIFUGO LISO,DYED,300,100% poliester,,,,,10.35,7.08975,,
